Number of pairs,3747.000000
Number of unique pairs,726
Average pair frequency,5.161157
Pair entropy,6.297801

Pair,Frequency,Proportion,Entropy Term,Mutual Information
presiden kolombia,6.000000,0.001601,0.010307,5.149266
presiden gustavo,3.000000,0.000801,0.005709,5.149266
presiden petro,3.000000,0.000801,0.005709,5.149266
presiden palestina,20.000000,0.005338,0.027932,1.602526
presiden israel,3.000000,0.000801,0.005709,0.750710
presiden prabowo,26.000000,0.006939,0.034491,4.475537
presiden indonesia,4.000000,0.001068,0.007304,2.376677
presiden yg,4.000000,0.001068,0.007304,1.479315
presiden kemerdekaan,3.000000,0.000801,0.005709,2.915674
presiden sidang,4.000000,0.001068,0.007304,3.827510
presiden as,3.000000,0.000801,0.005709,3.539828
presiden mendukung,3.000000,0.000801,0.005709,2.782142
presiden otoritas,7.000000,0.001868,0.011737,4.004134
presiden dukung,3.000000,0.000801,0.005709,3.156836
presiden subianto,5.000000,0.001334,0.008833,5.149266
presiden ri,3.000000,0.000801,0.005709,3.682929
presiden trump,5.000000,0.001334,0.008833,4.119647
presiden mahmoud,5.000000,0.001334,0.008833,4.561479
presiden donald,4.000000,0.001068,0.007304,4.589650
kolombia gustavo,3.000000,0.000801,0.005709,7.634173
kolombia petro,3.000000,0.000801,0.005709,7.634173
gustavo petro,3.000000,0.000801,0.005709,8.327320
palestina presiden,14.000000,0.003736,0.020885,1.245851
palestina israel,43.000000,0.011476,0.051268,1.147492
palestina gaza,21.000000,0.005604,0.029055,1.637523
palestina milik,3.000000,0.000801,0.005709,2.036162
palestina genosida,3.000000,0.000801,0.005709,0.485565
palestina merdeka,28.000000,0.007473,0.036590,2.578078
palestina perang,10.000000,0.002669,0.015816,1.752058
palestina prabowo,8.000000,0.002135,0.013129,1.031076
palestina pengakuan,4.000000,0.001068,0.007304,1.379383
palestina negara,45.000000,0.012010,0.053107,1.672843
palestina berdaulat,10.000000,0.002669,0.015816,2.788150
palestina state,6.000000,0.001601,0.010307,0.914019
palestina indonesia,16.000000,0.004270,0.023298,1.497166
palestina hamas,18.000000,0.004804,0.025645,1.584177
palestina yg,33.000000,0.008807,0.041677,1.323722
palestina rakyat,5.000000,0.001334,0.008833,0.642750
palestina muslim,3.000000,0.000801,0.005709,1.417123
palestina sidang,3.000000,0.000801,0.005709,1.274022
palestina pbb,13.000000,0.003469,0.019650,1.337536
palestina gak,10.000000,0.002669,0.015816,1.448376
palestina nya,4.000000,0.001068,0.007304,1.011658
palestina hak,4.000000,0.001068,0.007304,1.561704
palestina hidup,3.000000,0.000801,0.005709,1.679487
palestina bangsa,7.000000,0.001868,0.011737,1.303010
palestina perdamaian,3.000000,0.000801,0.005709,1.497166
palestina amp,5.000000,0.001334,0.008833,0.996390
palestina kali,3.000000,0.000801,0.005709,1.784848
palestina dunia,8.000000,0.002135,0.013129,1.134260
palestina bikin,4.000000,0.001068,0.007304,2.072530
palestina warga,3.000000,0.000801,0.005709,0.293193
palestina sampe,3.000000,0.000801,0.005709,1.902631
palestina emang,3.000000,0.000801,0.005709,1.343015
palestina klo,3.000000,0.000801,0.005709,1.209484
palestina ngga,3.000000,0.000801,0.005709,2.036162
palestina pidato,6.000000,0.001601,0.010307,1.417123
palestina netanyahu,3.000000,0.000801,0.005709,0.614777
palestina prancis,3.000000,0.000801,0.005709,1.902631
palestina inggris,6.000000,0.001601,0.010307,1.379383
palestina aksi,3.000000,0.000801,0.005709,1.679487
palestina orang,9.000000,0.002402,0.014487,1.020242
palestina ga,8.000000,0.002135,0.013129,1.351984
palestina diakui,5.000000,0.001334,0.008833,2.095003
palestina mengakui,6.000000,0.001601,0.010307,0.723976
palestina as,3.000000,0.000801,0.005709,1.274022
palestina sdh,3.000000,0.000801,0.005709,1.584177
palestina pro,3.000000,0.000801,0.005709,0.986340
palestina dr,5.000000,0.001334,0.008833,1.853841
palestina baca,4.000000,0.001068,0.007304,1.784848
palestina perdana,4.000000,0.001068,0.007304,2.477995
palestina menteri,3.000000,0.000801,0.005709,1.584177
palestina yerusalem,3.000000,0.000801,0.005709,1.679487
palestina oktober,3.000000,0.000801,0.005709,1.679487
palestina ya,14.000000,0.003736,0.020885,1.411644
palestina na,3.000000,0.000801,0.005709,1.584177
palestina wilayah,6.000000,0.001601,0.010307,1.209484
palestina politik,4.000000,0.001068,0.007304,1.436541
palestina two,7.000000,0.001868,0.011737,1.651316
palestina arab,5.000000,0.001334,0.008833,1.125602
palestina deklarasi,4.000000,0.001068,0.007304,2.190313
palestina balfour,3.000000,0.000801,0.005709,2.036162
palestina mendukung,8.000000,0.002135,0.013129,1.497166
palestina rumah,3.000000,0.000801,0.005709,1.784848
palestina nasional,4.000000,0.001068,0.007304,2.072530
palestina yahudi,3.000000,0.000801,0.005709,0.371155
palestina konflik,3.000000,0.000801,0.005709,0.580875
palestina militer,3.000000,0.000801,0.005709,1.091701
palestina otoritas,3.000000,0.000801,0.005709,0.891030
palestina mengambil,3.000000,0.000801,0.005709,2.883460
palestina aja,9.000000,0.002402,0.014487,1.055333
palestina dukung,4.000000,0.001068,0.007304,1.178712
palestina zionis,3.000000,0.000801,0.005709,0.548085
palestina tepi,5.000000,0.001334,0.008833,1.784848
palestina barat,5.000000,0.001334,0.008833,1.125602
palestina tanah,8.000000,0.002135,0.013129,0.937550
palestina dukungan,4.000000,0.001068,0.007304,1.225232
palestina tentara,4.000000,0.001068,0.007304,2.477995
palestina menerima,4.000000,0.001068,0.007304,2.323844
palestina jd,5.000000,0.001334,0.008833,2.007991
palestina aman,4.000000,0.001068,0.007304,2.072530
palestina ajukan,5.000000,0.001334,0.008833,3.106604
palestina keanggotaan,3.000000,0.000801,0.005709,2.883460
palestina penuh,6.000000,0.001601,0.010307,2.036162
palestina serangan,5.000000,0.001334,0.008833,2.095003
palestina keamanan,6.000000,0.001601,0.010307,1.842006
palestina negeri,4.000000,0.001068,0.007304,1.704805
palestina abbas,7.000000,0.001868,0.011737,1.884931
palestina sakit,3.000000,0.000801,0.005709,1.417123
palestina gw,5.000000,0.001334,0.008833,1.659685
palestina rusia,3.000000,0.000801,0.005709,2.036162
palestina pidatonya,6.000000,0.001601,0.010307,2.883460
palestina kritik,4.000000,0.001068,0.007304,2.477995
palestina akui,3.000000,0.000801,0.005709,1.584177
palestina tuh,7.000000,0.001868,0.011737,2.344464
palestina khalifah,3.000000,0.000801,0.005709,2.595778
palestina asli,6.000000,0.001601,0.010307,2.036162
palestina penjajah,4.000000,0.001068,0.007304,1.561704
palestina nama,6.000000,0.001601,0.010307,2.190313
palestina susah,4.000000,0.001068,0.007304,2.660317
palestina udah,7.000000,0.001868,0.011737,1.784848
palestina tau,3.000000,0.000801,0.005709,1.343015
palestina isriwil,3.000000,0.000801,0.005709,2.372635
palestina solusi,5.000000,0.001334,0.008833,1.091701
palestina mengecam,4.000000,0.001068,0.007304,2.190313
palestina tp,4.000000,0.001068,0.007304,1.967169
palestina kalo,3.000000,0.000801,0.005709,0.614777
palestina terluka,3.000000,0.000801,0.005709,2.595778
palestina kalah,3.000000,0.000801,0.005709,2.190313
palestina dgn,3.000000,0.000801,0.005709,1.274022
palestina lu,6.000000,0.001601,0.010307,1.148859
palestina peta,5.000000,0.001334,0.008833,2.190313
palestina syarat,5.000000,0.001334,0.008833,2.413457
palestina damai,3.000000,0.000801,0.005709,1.343015
palestina bgt,3.000000,0.000801,0.005709,2.036162
palestina sejarah,4.000000,0.001068,0.007304,1.274022
palestina anggota,4.000000,0.001068,0.007304,2.190313
palestina angka,4.000000,0.001068,0.007304,2.883460
palestina isu,3.000000,0.000801,0.005709,1.148859
palestina mohon,3.000000,0.000801,0.005709,2.883460
palestina maaf,3.000000,0.000801,0.005709,2.595778
palestina islam,4.000000,0.001068,0.007304,1.274022
palestina angkatan,3.000000,0.000801,0.005709,2.883460
palestina bersenjata,3.000000,0.000801,0.005709,2.883460
palestina butuh,3.000000,0.000801,0.005709,2.595778
palestina sbg,3.000000,0.000801,0.005709,2.595778
palestina penduduk,3.000000,0.000801,0.005709,1.497166
palestina berbeda,3.000000,0.000801,0.005709,2.372635
palestina tinggal,4.000000,0.001068,0.007304,1.497166
palestina pemerintah,3.000000,0.000801,0.005709,1.209484
palestina tolol,3.000000,0.000801,0.005709,1.902631
palestina unrwa,4.000000,0.001068,0.007304,2.190313
palestina fatah,3.000000,0.000801,0.005709,2.190313
palestina memilih,3.000000,0.000801,0.005709,2.595778
palestina nggak,4.000000,0.001068,0.007304,2.190313
palestina mahmoud,5.000000,0.001334,0.008833,2.295673
palestina gini,3.000000,0.000801,0.005709,2.036162
palestina via,3.000000,0.000801,0.005709,2.190313
palestina posisi,3.000000,0.000801,0.005709,2.190313
palestina ngomong,3.000000,0.000801,0.005709,1.584177
palestina permohonan,3.000000,0.000801,0.005709,2.883460
palestina resmi,4.000000,0.001068,0.007304,2.072530
palestina suara,3.000000,0.000801,0.005709,2.372635
palestina de,4.000000,0.001068,0.007304,2.883460
palestina keras,4.000000,0.001068,0.007304,2.477995
penjajahan palestina,4.000000,0.001068,0.007304,1.871859
israel presiden,3.000000,0.000801,0.005709,0.750710
israel palestina,64.000000,0.017080,0.069514,1.545175
israel gaza,6.000000,0.001601,0.010307,1.430064
israel milik,3.000000,0.000801,0.005709,3.081466
israel genosida,9.000000,0.002402,0.014487,2.629481
israel perang,3.000000,0.000801,0.005709,1.593389
israel negara,11.000000,0.002936,0.017117,1.309379
israel indonesia,6.000000,0.001601,0.010307,1.561640
israel hamas,7.000000,0.001868,0.011737,1.685019
israel yg,14.000000,0.003736,0.020885,1.511575
israel rakyat,4.000000,0.001068,0.007304,1.464911
israel gak,3.000000,0.000801,0.005709,1.289707
israel nya,3.000000,0.000801,0.005709,1.769280
israel hak,4.000000,0.001068,0.007304,2.607008
israel bangsa,3.000000,0.000801,0.005709,1.501016
israel amp,6.000000,0.001601,0.010307,2.224016
israel krn,3.000000,0.000801,0.005709,2.724791
israel netanyahu,11.000000,0.002936,0.017117,2.959363
israel orang,5.000000,0.001334,0.008833,1.477759
israel aneh,3.000000,0.000801,0.005709,3.235617
israel mengakui,17.000000,0.004537,0.024479,2.810734
israel sdh,3.000000,0.000801,0.005709,2.629481
israel benjamin,8.000000,0.002135,0.013129,3.610310
israel yerusalem,3.000000,0.000801,0.005709,2.724791
israel wilayah,5.000000,0.001334,0.008833,2.072466
israel two,3.000000,0.000801,0.005709,1.849322
israel mendukung,3.000000,0.000801,0.005709,1.561640
israel yahudi,4.000000,0.001068,0.007304,1.704140
israel konflik,3.000000,0.000801,0.005709,1.626179
israel aja,5.000000,0.001334,0.008833,1.512850
israel zionis,3.000000,0.000801,0.005709,1.593389
israel tepi,4.000000,0.001068,0.007304,2.607008
israel tanah,9.000000,0.002402,0.014487,2.100637
israel serangan,4.000000,0.001068,0.007304,2.917163
israel abbas,3.000000,0.000801,0.005709,2.082937
israel berhenti,5.000000,0.001334,0.008833,4.151907
israel penjajah,4.000000,0.001068,0.007304,2.607008
israel kuat,3.000000,0.000801,0.005709,3.417938
israel pembunuh,4.000000,0.001068,0.007304,3.705620
pendudukan israel,4.000000,0.001068,0.007304,3.369148
gaza palestina,14.000000,0.003736,0.020885,1.232058
gaza indonesia,3.000000,0.000801,0.005709,2.075202
gaza yg,5.000000,0.001334,0.008833,1.688665
gaza warga,3.000000,0.000801,0.005709,2.545206
gaza tepi,5.000000,0.001334,0.008833,4.036860
gaza barat,5.000000,0.001334,0.008833,3.377615
gaza mengubah,3.000000,0.000801,0.005709,5.135473
milik israel,3.000000,0.000801,0.005709,3.081466
genosida palestina,13.000000,0.003469,0.019650,1.951902
genosida israel,5.000000,0.001334,0.008833,2.041694
genosida gaza,6.000000,0.001601,0.010307,3.430725
genosida amp,3.000000,0.000801,0.005709,3.531529
merdeka palestina,3.000000,0.000801,0.005709,0.344486
merdeka israel,7.000000,0.001868,0.011737,2.237088
merdeka negara,3.000000,0.000801,0.005709,1.869678
merdeka ya,3.000000,0.000801,0.005709,2.776084
perang palestina,4.000000,0.001068,0.007304,0.835767
perang israel,4.000000,0.001068,0.007304,1.881071
perang gaza,6.000000,0.001601,0.010307,3.493245
perang genosida,3.000000,0.000801,0.005709,3.594050
perang total,3.000000,0.000801,0.005709,5.481119
prabowo palestina,15.000000,0.004003,0.022100,1.659685
prabowo israel,5.000000,0.001334,0.008833,1.606376
prabowo indonesia,5.000000,0.001334,0.008833,2.944661
prabowo kemerdekaan,3.000000,0.000801,0.005709,3.260514
prabowo sidang,4.000000,0.001068,0.007304,4.172351
prabowo pbb,10.000000,0.002669,0.015816,3.685818
prabowo dunia,4.000000,0.001068,0.007304,3.051759
prabowo bikin,3.000000,0.000801,0.005709,4.395494
prabowo mengakui,4.000000,0.001068,0.007304,2.929157
prabowo subianto,5.000000,0.001334,0.008833,5.494106
pengakuan palestina,8.000000,0.002135,0.013129,2.072530
pengakuan negara,10.000000,0.002669,0.015816,3.820866
negara presiden,7.000000,0.001868,0.011737,2.077896
negara palestina,68.000000,0.018148,0.072758,2.085688
negara israel,15.000000,0.004003,0.022100,1.619534
negara merdeka,10.000000,0.002669,0.015816,3.073651
negara pengakuan,3.000000,0.000801,0.005709,2.616893
negara berdaulat,5.000000,0.001334,0.008833,3.620195
negara yg,17.000000,0.004537,0.024479,2.185620
negara israhell,4.000000,0.001068,0.007304,2.750424
negara kemerdekaan,4.000000,0.001068,0.007304,2.462742
negara perdamaian,3.000000,0.000801,0.005709,3.022358
negara inggris,4.000000,0.001068,0.007304,2.499110
negara ga,3.000000,0.000801,0.005709,1.896347
negara mengakui,7.000000,0.001868,0.011737,2.403319
negara yerusalem,3.000000,0.000801,0.005709,3.204679
negara arab,3.000000,0.000801,0.005709,2.139969
negara yahudi,5.000000,0.001334,0.008833,2.407172
negara barat,3.000000,0.000801,0.005709,2.139969
negara tanah,8.000000,0.002135,0.013129,2.462742
negara peta,3.000000,0.000801,0.005709,3.204679
negara pasukan,3.000000,0.000801,0.005709,2.868207
negara batas,3.000000,0.000801,0.005709,3.897827
state palestina,7.000000,0.001868,0.011737,1.068170
state israel,10.000000,0.002669,0.015816,2.470149
state negara,3.000000,0.000801,0.005709,1.746064
state mengakui,3.000000,0.000801,0.005709,2.812101
state solution,27.000000,0.007206,0.035545,5.464061
indonesia palestina,14.000000,0.003736,0.020885,1.363634
indonesia israel,8.000000,0.002135,0.013129,1.849322
indonesia negara,4.000000,0.001068,0.007304,1.636064
indonesia mengakui,5.000000,0.001334,0.008833,2.925243
indonesia konsisten,3.000000,0.000801,0.005709,4.756223
tdk palestina,3.000000,0.000801,0.005709,2.190313
hamas presiden,4.000000,0.001068,0.007304,2.345906
hamas palestina,14.000000,0.003736,0.020885,1.332863
hamas israel,4.000000,0.001068,0.007304,1.125404
hamas gaza,3.000000,0.000801,0.005709,2.044430
hamas perjuangan,3.000000,0.000801,0.005709,4.137665
hamas warga,3.000000,0.000801,0.005709,2.646010
hamas pidato,3.000000,0.000801,0.005709,3.076793
hamas setuju,4.000000,0.001068,0.007304,4.224676
hamas oktober,3.000000,0.000801,0.005709,4.032305
hamas serangan,3.000000,0.000801,0.005709,3.936994
perjuangan palestina,4.000000,0.001068,0.007304,2.072530
perjuangan rakyat,5.000000,0.001334,0.008833,4.987998
yg palestina,23.000000,0.006138,0.031263,0.962709
yg israel,15.000000,0.004003,0.022100,1.580568
yg gaza,3.000000,0.000801,0.005709,1.177839
yg negara,7.000000,0.001868,0.011737,1.298317
yg gak,3.000000,0.000801,0.005709,1.730629
yg maksud,4.000000,0.001068,0.007304,4.146543
yg nya,3.000000,0.000801,0.005709,2.210202
yg warga,3.000000,0.000801,0.005709,1.779419
yg kemarin,3.000000,0.000801,0.005709,3.271074
yg ga,5.000000,0.001334,0.008833,2.368206
yg mengakui,4.000000,0.001068,0.007304,1.804737
yg pro,4.000000,0.001068,0.007304,2.760248
yg tanah,4.000000,0.001068,0.007304,1.730629
yg abbas,3.000000,0.000801,0.005709,2.523860
yg bilang,4.000000,0.001068,0.007304,3.271074
yg dlm,3.000000,0.000801,0.005709,4.082004
mewakili palestina,4.000000,0.001068,0.007304,2.190313
mewakili rakyat,3.000000,0.000801,0.005709,4.594955
rakyat palestina,36.000000,0.009608,0.044630,2.616831
rakyat negara,3.000000,0.000801,0.005709,1.657117
rakyat yg,4.000000,0.001068,0.007304,1.905833
rakyat tanah,3.000000,0.000801,0.005709,2.649045
israhell palestina,6.000000,0.001601,0.010307,1.630697
muslim palestina,3.000000,0.000801,0.005709,1.417123
kemerdekaan palestina,25.000000,0.006672,0.033426,2.770131
sidang pbb,13.000000,0.003469,0.019650,5.171957
