Number of words,6818
Number of unique words,753
Average word frequency,9.054449
Entropy,5.748994

Word,Frequency,Proportion,Entropy Term
presiden,72,0.010560,0.048056
kolombia,6,0.000880,0.006191
gustavo,3,0.000440,0.003401
petro,3,0.000440,0.003401
mengumumkan,4,0.000587,0.004366
berjuang,3,0.000440,0.003401
palestina,694,0.101789,0.232573
penjajahan,11,0.001613,0.010373
israel,244,0.035788,0.119178
sugiono,3,0.000440,0.003401
pendudukan,7,0.001027,0.007065
gaza,73,0.010707,0.048576
milik,7,0.001027,0.007065
dipimpin,3,0.000440,0.003401
semoga,3,0.000440,0.003401
genosida,33,0.004840,0.025802
merdeka,38,0.005573,0.028925
penjahat,6,0.000880,0.006191
perang,31,0.004547,0.024522
ide,5,0.000733,0.005293
prabowo,51,0.007480,0.036619
rencana,7,0.001027,0.007065
diplomasi,3,0.000440,0.003401
tujuannya,3,0.000440,0.003401
pengakuan,18,0.002640,0.015674
negara,151,0.022147,0.084382
berdaulat,11,0.001613,0.010373
diterima,3,0.000440,0.003401
state,43,0.006307,0.031951
forum,5,0.000733,0.005293
indonesia,64,0.009387,0.043822
tdk,6,0.000880,0.006191
data,4,0.000587,0.004366
fakta,5,0.000733,0.005293
hamas,66,0.009680,0.044894
perjuangan,9,0.001320,0.008752
yg,157,0.023027,0.086838
mewakili,8,0.001173,0.007918
rakyat,47,0.006894,0.034310
utk,8,0.001173,0.007918
israhell,21,0.003080,0.017811
masuk,10,0.001467,0.009570
muslim,13,0.001907,0.011941
serius,3,0.000440,0.003401
kemerdekaan,28,0.004107,0.022567
sidang,15,0.002200,0.013463
pbb,61,0.008947,0.042198
gak,42,0.006160,0.031353
maksud,5,0.000733,0.005293
nya,26,0.003813,0.021238
hak,15,0.002200,0.013463
hidup,10,0.001467,0.009570
bangsa,34,0.004987,0.026435
perdamaian,12,0.001760,0.011163
dg,10,0.001467,0.009570
sengaja,3,0.000440,0.003401
persenjataan,4,0.000587,0.004366
amp,33,0.004840,0.025802
krn,10,0.001467,0.009570
jg,3,0.000440,0.003401
menghancurkan,3,0.000440,0.003401
will,3,0.000440,0.003401
kali,9,0.001320,0.008752
membahas,4,0.000587,0.004366
pertemuan,3,0.000440,0.003401
pemimpin,17,0.002493,0.014946
dunia,46,0.006747,0.033725
mengirimkan,4,0.000587,0.004366
bikin,9,0.001320,0.008752
warga,40,0.005867,0.030146
bertahan,4,0.000587,0.004366
sampe,8,0.001173,0.007918
coba,5,0.000733,0.005293
bangga,4,0.000587,0.004366
emang,14,0.002053,0.012707
sok,3,0.000440,0.003401
menjamin,4,0.000587,0.004366
klo,16,0.002347,0.014209
ngga,7,0.001027,0.007065
palestinaisrael,4,0.000587,0.004366
spanyol,5,0.000733,0.005293
memalukan,3,0.000440,0.003401
takut,4,0.000587,0.004366
anakanak,7,0.001027,0.007065
isi,6,0.000880,0.006191
pidato,26,0.003813,0.021238
netanyahu,29,0.004253,0.023224
video,10,0.001467,0.009570
sesuai,7,0.001027,0.007065
mengkritik,3,0.000440,0.003401
barubaru,3,0.000440,0.003401
prancis,8,0.001173,0.007918
inggris,27,0.003960,0.021905
klaim,5,0.000733,0.005293
memuji,3,0.000440,0.003401
umat,7,0.001027,0.007065
manusia,6,0.000880,0.006191
aksi,10,0.001467,0.009570
out,3,0.000440,0.003401
delegasi,4,0.000587,0.004366
negaranegara,9,0.001320,0.008752
bukti,7,0.001027,0.007065
kemanusiaan,21,0.003080,0.017811
brutal,3,0.000440,0.003401
abad,13,0.001907,0.011941
beda,5,0.000733,0.005293
nyawa,4,0.000587,0.004366
orang,58,0.008507,0.040551
ngasih,4,0.000587,0.004366
aneh,6,0.000880,0.006191
banget,4,0.000587,0.004366
kasihan,3,0.000440,0.003401
kemarin,9,0.001320,0.008752
ga,37,0.005427,0.028308
setuju,11,0.001613,0.010373
uud,5,0.000733,0.005293
vs,4,0.000587,0.004366
diakui,11,0.001613,0.010373
mengakui,52,0.007627,0.037189
internasional,13,0.001907,0.011941
hadir,4,0.000587,0.004366
tamu,4,0.000587,0.004366
as,15,0.002200,0.013463
sdh,11,0.001613,0.010373
dasar,5,0.000733,0.005293
pro,20,0.002933,0.017106
anak,9,0.001320,0.008752
dr,14,0.002053,0.012707
gedung,4,0.000587,0.004366
baca,12,0.001760,0.011163
perdana,6,0.000880,0.006191
menteri,11,0.001613,0.010373
benjamin,11,0.001613,0.010373
yerusalem,10,0.001467,0.009570
oktober,10,0.001467,0.009570
waziri,5,0.000733,0.005293
wa,20,0.002933,0.017106
ya,61,0.008947,0.042198
uturuki,4,0.000587,0.004366
katika,5,0.000733,0.005293
umoja,3,0.000440,0.003401
kuhusu,3,0.000440,0.003401
na,11,0.001613,0.010373
kwa,10,0.001467,0.009570
uanachama,3,0.000440,0.003401
kompleks,4,0.000587,0.004366
wilayah,32,0.004693,0.025164
agama,9,0.001320,0.008752
politik,17,0.002493,0.014946
global,9,0.001320,0.008752
teknologi,3,0.000440,0.003401
kekerasan,3,0.000440,0.003401
heran,5,0.000733,0.005293
respons,3,0.000440,0.003401
two,24,0.003520,0.019886
solution,33,0.004840,0.025802
momentum,3,0.000440,0.003401
strategis,7,0.001027,0.007065
bersatu,3,0.000440,0.003401
pakai,4,0.000587,0.004366
bendera,6,0.000880,0.006191
kawasan,4,0.000587,0.004366
memiliki,5,0.000733,0.005293
komunitas,6,0.000880,0.006191
terbesar,6,0.000880,0.006191
arab,29,0.004253,0.023224
puluhan,3,0.000440,0.003401
ribu,7,0.001027,0.007065
sumber,3,0.000440,0.003401
era,4,0.000587,0.004366
modern,6,0.000880,0.006191
timur,12,0.001760,0.011163
deklarasi,8,0.001173,0.007918
balfour,7,0.001027,0.007065
mendukung,32,0.004693,0.025164
pendirian,5,0.000733,0.005293
rumah,9,0.001320,0.008752
nasional,9,0.001320,0.008752
yahudi,37,0.005427,0.028308
sipil,7,0.001027,0.007065
akar,5,0.000733,0.005293
konflik,30,0.004400,0.023876
pandangan,4,0.000587,0.004366
bw,3,0.000440,0.003401
partai,3,0.000440,0.003401
pendukung,11,0.001613,0.010373
kolonial,4,0.000587,0.004366
kerjasama,4,0.000587,0.004366
militer,18,0.002640,0.015674
beragama,4,0.000587,0.004366
kristen,9,0.001320,0.008752
otoritas,22,0.003227,0.018510
mengambil,3,0.000440,0.003401
berkurang,3,0.000440,0.003401
aja,56,0.008214,0.039441
dukung,22,0.003227,0.018510
bela,12,0.001760,0.011163
zionis,31,0.004547,0.024522
tepi,15,0.002200,0.013463
barat,29,0.004253,0.023224
eropa,19,0.002787,0.016394
amerika,8,0.001173,0.007918
pernyataan,6,0.000880,0.006191
sikap,4,0.000587,0.004366
prinsip,3,0.000440,0.003401
terkait,6,0.000880,0.006191
kebebasan,3,0.000440,0.003401
mengutuk,4,0.000587,0.004366
tanah,56,0.008214,0.039441
air,5,0.000733,0.005293
filistin,10,0.001467,0.009570
rais,3,0.000440,0.003401
recep,3,0.000440,0.003401
tayyip,3,0.000440,0.003401
erdogan,6,0.000880,0.006191
mkuu,4,0.000587,0.004366
uingereza,5,0.000733,0.005293
starmer,3,0.000440,0.003401
taifa,5,0.000733,0.005293
la,6,0.000880,0.006191
opini,5,0.000733,0.005293
bentuk,7,0.001027,0.007065
dukungan,21,0.003080,0.017811
masyarakat,5,0.000733,0.005293
