created_at,username,cleaned_text,hashtags,favorite_count,retweet_count,reply_count,quote_count,image_url,location,lang,tweet_url,engagement,sentiment
2025-09-26 11:09:29+00:00,,perdamaian palestina bisa terwujud jika semua pihak mengusir israel dari bumi palestina itu baru benar israel itu bangsa penjajah pak,[],297,120,62,8,https://pbs.twimg.com/media/G1xKa9ybYAE4zq_.jpg,,in,https://x.com/undefined/status/1971532571692728657,417,negative
2025-09-26 04:15:18+00:00,,jika saja sheikh ahmad yassin tidak mendirikan hamas tahun 1987 mungkin palestina hari ini hanya tinggal nama,[],251,98,4,1,,,in,https://x.com/undefined/status/1971428339509506101,349,negative
2025-09-26 12:56:33+00:00,,hamas menanggapi pidato presiden otoritas palestina mahmoud abbas di majelis umum perserikatan bangsabangsa kami gerakan perlawanan islam hamas menegaskan halhal berikut,[],231,109,4,1,https://pbs.twimg.com/media/G1xi7VCaMAACBqf.jpg,,in,https://x.com/undefined/status/1971559516329443342,340,neutral
2025-09-26 04:23:27+00:00,,sebelum 1948 israel itu tidak ada adanya negara palestina yg kemudian didirikanlah negara israel oleh kolonial inggris dgn mencaplok sebagian wilayah negara palestina tak tahukah akan hal ini sangat mengherankan,[],181,33,6,0,,,in,https://x.com/undefined/status/1971430393313362252,214,negative
2025-09-26 09:54:37+00:00,,pa itu ga punya apa apa abbas mati pa bakal bubar atau jadi satelite state israel dalam jangka panjang hamas akan tetap menang israel will have no choice but to recognize them kalau mau damai sama palestina karena yang dominasi palestina ya hamas,[],98,38,6,3,,,in,https://x.com/undefined/status/1971513732800111097,136,negative
2025-09-26 10:26:35+00:00,,di hari jumat yg mubarok ini jangan lupa doakan para mujahidin dan saudara kita di palestina khususnya di jalur gaza hasbunallah wanikmal wakil nikmal maula wanikman nasir,[],74,25,1,0,https://pbs.twimg.com/ext_tw_video_thumb/1971521741894623232/pu/img/rTgA194pxeAn57pO.jpg,,in,https://x.com/undefined/status/1971521779278688734,99,neutral
2025-09-26 16:53:48+00:00,,netanyahu ketika betlehem tempat kelahiran yesus berada di bawah kendali israel 80 penduduknya beragama kristen sejak otoritas palestina mengambil alih jumlah itu telah menyusut menjadi di bawah 20 orangorang ini ingin kalian beri negara,[],76,19,4,1,https://pbs.twimg.com/amplify_video_thumb/1971577067427844096/img/75BXbh4MA130hZ12.jpg,,in,https://x.com/undefined/status/1971619222443929716,95,negative
2025-09-26 03:44:36+00:00,,menteri luar negeri arab saudi pangeran faisal bin farhan mengumumkan koalisi baru untuk pembangunan palestina dengan dukungan saudi sebesar 90 juta koalisi ini bertujuan untuk memperkuat ketahanan palestina dan mendukung rekonstruksi tidak akan ada normalisasi dengan,[],65,17,2,0,https://pbs.twimg.com/amplify_video_thumb/1971418830707580928/img/4eJtxYvyFTXdEw-W.jpg,,in,https://x.com/undefined/status/1971420613114818901,82,neutral
2025-09-26 22:21:17+00:00,,jennifer lawrence berbicara hari ini di konferensi pers festival film san sebastián di spanyol apa yang terjadi di palestina tidak lain adalah genosida itu tidak dapat diterima saya ketakutan dan itu sangat memalukan saya takut pada anakanak saya pada anakanak,[],50,29,1,0,https://pbs.twimg.com/amplify_video_thumb/1971701472082776064/img/ZU3MpSYs5eEyPJ2G.jpg,,in,https://x.com/undefined/status/1971701637627670887,79,negative
2025-09-26 11:47:47+00:00,,gw sangat2 mengapresiasi kalian dalam pergerakan aksi dalam negeri tapi jujur deh kalo soal geonicide di palestina kita2 memang harus perbanyak baca dulu dari sisi historis hingga peta perpolitikan disana jangan mengandalkan emosi atau sentimen tertentu semata,[],65,3,0,0,,,in,https://x.com/undefined/status/1971542211532935289,68,positive
2025-09-26 08:15:08+00:00,,di palestina yg jagain sodara kristiani ya muslim banyak di yutub wkwkwk,[],61,0,1,0,,,in,https://x.com/undefined/status/1971488697637011537,61,negative
2025-09-26 22:31:30+00:00,,pertanyaannya bukanlah apakah israel punya hak untuk hidup pertanyaannya adalah bagaimana hal itu bisa ada jika fondasinya adalah penghapusan bangsa lain bagaimana mungkin proyek yang dibangun di atas kuburan palestina mengklaim perdamaian dengan palestina kolonialisme,[],43,17,3,0,https://pbs.twimg.com/media/G1zmdKNb0AM9WGy.jpg,,in,https://x.com/undefined/status/1971704208920662517,60,negative
2025-09-26 13:05:55+00:00,,polres aceh timur amankan gema sholawat untuk solidaritas kemerdekaan palestina alhamdulillah seluruh rangkaian kegiatan berjalan dengan tertib dan lancar terima kasih kepada seluruh petugas yang terlibat pengamanan,[],58,2,1,0,https://pbs.twimg.com/media/G1xlElNbgAE2xzv.jpg,,in,https://x.com/undefined/status/1971561875658969271,60,neutral
2025-09-26 05:11:04+00:00,,konflik antara palestina dan israel merupakan salah satu konflik paling kompleks dan berkepanjangan di dunia yang berakar dari akhir abad ke19 dan terus berlangsung hingga tahun 2025 ini berdasarkan beberapa referensi yang saya baca konflik kedua pihak itu sepertinya bermula,[],42,11,1,2,https://pbs.twimg.com/media/G1v3JC4aAAAIShV.jpg,,in,https://x.com/undefined/status/1971442374250463549,53,negative
2025-09-26 09:15:18+00:00,,kesamaan panji gumilang prabowo amp bu retno adalah setuju two state solution mengakui israel sbg negara menjalin hubungan dg israel setelah palestina merdeka sorry yee gw bukan nii syiah pengikut panjul sesat ternyata panjul sendiri dukung prabowo juga pendukung israel,[],31,18,5,0,https://pbs.twimg.com/ext_tw_video_thumb/1971503576355901441/pu/img/VrTIRF1nYgNv473W.jpg,,in,https://x.com/undefined/status/1971503837476536757,49,negative
2025-09-26 18:38:22+00:00,,netanyahu ketika betlehem tempat kelahiran yesus berada di bawah kendali israel 80 penduduknya beragama kristen sejak otoritas palestina mengambil alih jumlah tersebut telah berkurang hingga di bawah 20,[],38,9,1,1,https://pbs.twimg.com/amplify_video_thumb/1971577067427844096/img/75BXbh4MA130hZ12.jpg,,in,https://x.com/undefined/status/1971645537251479599,47,neutral
2025-09-26 05:56:29+00:00,,ini tanggapan pada pidato yg perlu didengarkan biar indonesia nggak semaunya sendiri mengatasnamakan palestina,[],28,18,0,0,https://pbs.twimg.com/media/G1wCyUfaoAEsT8d.jpg,,in,https://x.com/undefined/status/1971453803691114543,46,neutral
2025-09-26 10:57:45+00:00,,makasih nder sudah sadar akan kejahatan israel dan menolak genosida di palestina,[],44,0,0,0,,,in,https://x.com/undefined/status/1971529620836188580,44,positive
2025-09-26 06:20:00+00:00,,kesyahidan ganjaran atas perjuangan baik dalam pertahanan selama 8 tahun maupun dalam pertempuran heroik 12 hari juga di lebanon gaza serta palestina bangsabangsa melalui jihad yang mereka persembahkan terus bertumbuh dan semakin bersinar,[],34,9,0,0,,,in,https://x.com/undefined/status/1971459721640259826,43,positive
2025-09-26 09:31:55+00:00,,mohon maaf atas ketololan pemimpin kamj yg buta sejarah jujur kami merasa malu mendengar pernyataannya seakan akan kami adalah orang tak tahu budi yg begitu saja melupakan jasa bangsa palestina di awal terbentuknya negeri kami tanpa negarapun hatiampjiwa kami bersama palestina,[],38,4,0,0,,,in,https://x.com/undefined/status/1971508018186744039,42,negative
2025-09-26 08:58:32+00:00,,bisa jadi politikus israel ini penduduk palestina asli dengan lantang dia mengatakan setanyahu pembunuh lebih dari 35 ribu bayi dan anakanak kekejaman yang luar biasa hanya dihukum mati dengan cara dirudal,[],22,19,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1971499450406449153/pu/img/tX6X_vh62TBGvKvd.jpg,,in,https://x.com/undefined/status/1971499617742360878,41,negative
2025-09-26 11:08:50+00:00,,hamas masyarakat palestina as a whole it needs to be highlighted ini seperti mereduksi opini masyakarat tentang proyek mbg menjadi setuju karena pemerintah mereka tetep setuju lanjut progam mbg,[],36,4,2,0,,,in,https://x.com/undefined/status/1971532409331225084,40,positive
2025-09-26 10:42:20+00:00,,jadi lu gpp ya makan nasi lauk tai asal label kotaknya palestina semua2 koq dihubungkan sm timur tengah asu,[],40,0,1,0,,,in,https://x.com/undefined/status/1971525740182278329,40,negative
2025-09-26 19:28:25+00:00,,perdana menteri israel benjamin netanyahu memberikan negara kepada palestina 1 mil dari yerusalem setelah 7 oktober seperti memberikan alqaeda sebuah negara 1 mil dari nyc setelah 911,[],30,7,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1971658090614607876/pu/img/tVobOis088jr69S6.jpg,,in,https://x.com/undefined/status/1971658134344421625,37,neutral
2025-09-26 05:13:34+00:00,,dalam pidatonya di dewan keamanan pbb presiden kolombia gustavo petro mendesak pembentukan pasukan militer internasional untuk membebaskan palestina ia menegaskan bahwa kecaman saja tidak cukup lagi mengingat kejahatan yang terjadi di gaza,[],30,7,1,0,https://pbs.twimg.com/media/G1v49xib0AAXVWK.jpg,,in,https://x.com/undefined/status/1971443005400977411,37,neutral
2025-09-26 14:38:18+00:00,,prabowo indonesia akan mengakui israel jika israel mengakui palestina terlebih dahulu ummat bw indonesia akan mengakui israel,[],26,10,0,1,,,in,https://x.com/undefined/status/1971585124581183769,36,neutral
2025-09-26 10:58:46+00:00,,karena persepsi sebelum barubaru ini emang cuma islam yang getol membela palestina baru belakangan ini negara barat ikut membela palestina jadi isu agamanya udah sangat berkurang dibanding dulu,[],35,0,0,0,,,in,https://x.com/undefined/status/1971529877418553442,35,negative
2025-09-26 11:15:13+00:00,,1 penelitian dilakukan oleh peneliti berdarah asli palestina 2 penelitian terbarukan yg dilakukan pasca kejadian 7 oktober 3 melibatkan 1270 orang palestina baik dari tepi barat dan gaza jawaban,[],30,4,1,0,,,in,https://x.com/undefined/status/1971534016819151313,34,neutral
2025-09-26 06:36:46+00:00,,kalau boleh kita simpulkan bahwa pak prabowo tidak atau belum mengetahui secara detail sejarah bangsa palestina dan sekitarnya mohon untuk pak presiden cermati apa yg disampaikan oleh saudara kita dipalestina,[],30,3,1,0,,,in,https://x.com/undefined/status/1971463940300509316,33,neutral
2025-09-26 06:14:14+00:00,,negara palestina adalah negara yg berdaulat sedangkan israel adalah penjajah teroris yg ingin merebut kekuasaan dari tangan rakyat negara palestina,[],30,3,1,0,,,in,https://x.com/undefined/status/1971458273103753216,33,negative
2025-09-26 14:49:35+00:00,,keberadaanmu di indonesia tidak lepas dari perjuangan presiden prabowo pada saat beliau bertugas sebagai menteri pertahanan pada masa yang sebelumnya kata menjan sjafrie di hadapan 44 kadet unhan asal palestina di aula bhineka tunggal ika gedung kementerian pertahanan,[],21,6,1,1,https://pbs.twimg.com/media/G1x8n-CaIAAi88J.jpg,,in,https://x.com/undefined/status/1971587964372451447,27,neutral
2025-09-26 11:52:57+00:00,,dubes azerbaijan bicara palestina di istiqlal usai salat jumat bersama,[],21,4,2,0,,,in,https://x.com/undefined/status/1971543510781469056,25,neutral
2025-09-26 15:18:54+00:00,,franceska albanese mengatakan inggris lah yang menjadi biang kerok genocida di palestina dengan membuat deklarasi balfour di masa lalu yang menjanjikan orang2 yahudi di eropa tanah yang tak pernah mereka miliki sebelumnya yang sekarang menjadi israhell,[],18,7,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1971594966930718720/pu/img/5sMTuIdyH_eZsm6c.jpg,,in,https://x.com/undefined/status/1971595341146497114,25,negative
